0,0,1,5,0,
0,0,1,5,0,
0,0,1,5,0,
0,0,1,5,0,
0,0,1,5,0,
0,0,1,5,0,
1,101,2,5,0,
1,101,6,5,18450,A

3,101,6,5,13160,A-  prefix (also an- before a vowel sound) not, without (amoral). [greek]

77,101,6,5,5152,Aa  abbr. 1 automobile association. 2 alcoholics anonymous. 3 anti-aircraft.

154,101,6,5,0,Aardvark  n. Mammal with a tubular snout and a long tongue, feeding on termites. [afrikaans]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

154,101,6,5,0,Aardvark  n. Mammal with a tubular snout and a long tongue, feeding on termites. [afrikaans]

3,101,6,5,13160,A-  prefix (also an- before a vowel sound) not, without (amoral). [greek]

1,101,2,5,0,
3,101,6,5,13160,A-  prefix (also an- before a vowel sound) not, without (amoral). [greek]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

154,101,6,5,0,Aardvark  n. Mammal with a tubular snout and a long tongue, feeding on termites. [afrikaans]

3,101,6,5,13160,A-  prefix (also an- before a vowel sound) not, without (amoral). [greek]

3,101,6,5,13160,A-  prefix (also an- before a vowel sound) not, without (amoral). [greek]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

154,101,6,5,0,Aardvark  n. Mammal with a tubular snout and a long tongue, feeding on termites. [afrikaans]

3,101,6,5,13160,A-  prefix (also an- before a vowel sound) not, without (amoral). [greek]

3,101,6,5,13160,A-  prefix (also an- before a vowel sound) not, without (amoral). [greek]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

247,101,6,5,1734,Ab-  prefix off, away, from (abduct). [latin]

